OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
4156,2015-07-07T15:00:00.000Z,SP,Tijuca,PI,Boa,34
4157,2015-07-07T15:00:00.000Z,IR,Irajá,O3,Boa,38
4158,2015-07-07T15:00:00.000Z,BG,Bangu,O3,Boa,41
4159,2015-07-07T15:00:00.000Z,CG,Campo Grande,PI,Boa,37
4160,2015-07-07T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,39
4161,2015-07-08T15:00:00.000Z,CA,Centro,PI,Boa,34
4162,2015-07-08T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4163,2015-07-08T15:00:00.000Z,SC,São Cristóvão,PI,Boa,34
4164,2015-07-08T15:00:00.000Z,SP,Tijuca,PI,Boa,40
4165,2015-07-08T15:00:00.000Z,IR,Irajá,PI,Boa,37
4166,2015-07-08T15:00:00.000Z,BG,Bangu,PI,Regular,54
4167,2015-07-08T15:00:00.000Z,CG,Campo Grande,PI,Boa,48
4168,2015-07-08T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,41
4169,2015-07-09T15:00:00.000Z,CA,Centro,PI,Regular,54
4170,2015-07-09T15:00:00.000Z,AV,Copacabana,PI,Regular,67
4171,2015-07-09T15:00:00.000Z,SC,São Cristóvão,PI,Boa,50
4172,2015-07-09T15:00:00.000Z,SP,Tijuca,PI,Boa,41
4173,2015-07-09T15:00:00.000Z,IR,Irajá,PI,Regular,58
4174,2015-07-09T15:00:00.000Z,BG,Bangu,PI,Regular,52
4175,2015-07-09T15:00:00.000Z,CG,Campo Grande,PI,Regular,52
4176,2015-07-09T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,38
4177,2015-07-10T15:00:00.000Z,CA,Centro,PI,Boa,41
4178,2015-07-10T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4179,2015-07-10T15:00:00.000Z,SC,São Cristóvão,PI,Boa,38
4180,2015-07-10T15:00:00.000Z,SP,Tijuca,PI,Boa,42
4181,2015-07-10T15:00:00.000Z,IR,Irajá,PI,Regular,60
4182,2015-07-10T15:00:00.000Z,BG,Bangu,O3,Regular,62
4183,2015-07-10T15:00:00.000Z,CG,Campo Grande,PI,Regular,59
4184,2015-07-10T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,54
4185,2015-07-11T15:00:00.000Z,CA,Centro,PI,Boa,37
4186,2015-07-11T15:00:00.000Z,AV,Copacabana,PI,Regular,54
4187,2015-07-11T15:00:00.000Z,SC,São Cristóvão,PI,Boa,38
4188,2015-07-11T15:00:00.000Z,SP,Tijuca,PI,Boa,43
4189,2015-07-11T15:00:00.000Z,IR,Irajá,PI,Boa,49
4190,2015-07-11T15:00:00.000Z,BG,Bangu,O3,Regular,54
4191,2015-07-11T15:00:00.000Z,CG,Campo Grande,O3,Boa,45
4192,2015-07-11T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,50
4193,2015-07-12T15:00:00.000Z,CA,Centro,PI,Boa,38
4194,2015-07-12T15:00:00.000Z,AV,Copacabana,Indisponivel,Indisponivel,
4195,2015-07-12T15:00:00.000Z,SC,São Cristóvão,PI,Boa,44
4196,2015-07-12T15:00:00.000Z,SP,Tijuca,PI,Boa,42
4197,2015-07-12T15:00:00.000Z,IR,Irajá,O3,Regular,62
4198,2015-07-12T15:00:00.000Z,BG,Bangu,O3,Regular,78
4199,2015-07-12T15:00:00.000Z,CG,Campo Grande,O3,Regular,79
4200,2015-07-12T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,62
4201,2015-07-13T15:00:00.000Z,CA,Centro,O3,Regular,51
4202,2015-07-13T15:00:00.000Z,AV,Copacabana,Indisponivel,Indisponivel,
4203,2015-07-13T15:00:00.000Z,SC,São Cristóvão,PI,Regular,54
4204,2015-07-13T15:00:00.000Z,SP,Tijuca,NO2,Boa,50
4205,2015-07-13T15:00:00.000Z,IR,Irajá,O3,Regular,62
4206,2015-07-13T15:00:00.000Z,BG,Bangu,O3,Regular,81
4207,2015-07-13T15:00:00.000Z,CG,Campo Grande,O3,Regular,80
4208,2015-07-13T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,74
4209,2015-07-14T15:00:00.000Z,CA,Centro,PI,Regular,54
4210,2015-07-14T15:00:00.000Z,AV,Copacabana,PI,Regular,59
4211,2015-07-14T15:00:00.000Z,SC,São Cristóvão,PI,Regular,69
4212,2015-07-14T15:00:00.000Z,SP,Tijuca,PI,Regular,51
4213,2015-07-14T15:00:00.000Z,IR,Irajá,PI,Regular,61
4214,2015-07-14T15:00:00.000Z,BG,Bangu,O3,Regular,74
4215,2015-07-14T15:00:00.000Z,CG,Campo Grande,PI,Regular,62
4216,2015-07-14T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,63
4217,2015-07-15T15:00:00.000Z,CA,Centro,PI,Regular,57
4218,2015-07-15T15:00:00.000Z,AV,Copacabana,PI,Regular,64
4219,2015-07-15T15:00:00.000Z,SC,São Cristóvão,PI,Regular,58
4220,2015-07-15T15:00:00.000Z,SP,Tijuca,PI,Regular,59
4221,2015-07-15T15:00:00.000Z,IR,Irajá,PI,Regular,64
4222,2015-07-15T15:00:00.000Z,BG,Bangu,O3,Regular,70
4223,2015-07-15T15:00:00.000Z,CG,Campo Grande,PI,Regular,61
4224,2015-07-15T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,58
4225,2015-07-16T15:00:00.000Z,CA,Centro,PI,Regular,56
4226,2015-07-16T15:00:00.000Z,AV,Copacabana,PI,Regular,66
4227,2015-07-16T15:00:00.000Z,SC,São Cristóvão,PI,Regular,58
4228,2015-07-16T15:00:00.000Z,SP,Tijuca,PI,Regular,62
4229,2015-07-16T15:00:00.000Z,IR,Irajá,PI,Regular,59
4230,2015-07-16T15:00:00.000Z,BG,Bangu,O3,Regular,80
4231,2015-07-16T15:00:00.000Z,CG,Campo Grande,PI,Boa,45
4232,2015-07-16T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,52
4233,2015-07-17T15:00:00.000Z,CA,Centro,PI,Regular,51
4234,2015-07-17T15:00:00.000Z,AV,Copacabana,PI,Regular,63
4235,2015-07-17T15:00:00.000Z,SC,São Cristóvão,PI,Regular,58
4236,2015-07-17T15:00:00.000Z,SP,Tijuca,PI,Regular,55
4237,2015-07-17T15:00:00.000Z,IR,Irajá,PI,Regular,62
4238,2015-07-17T15:00:00.000Z,BG,Bangu,O3,Regular,76
4239,2015-07-17T15:00:00.000Z,CG,Campo Grande,PI,Regular,53
4240,2015-07-17T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,55
4241,2015-07-18T18:19:00.000Z,CA,Centro,PI,Regular,58
4242,2015-07-18T18:19:00.000Z,AV,Copacabana,PI,Regular,68
4243,2015-07-18T18:19:00.000Z,SC,São Cristóvão,PI,Regular,64
4244,2015-07-18T18:19:00.000Z,SP,Tijuca,PI,Regular,57
4245,2015-07-18T18:19:00.000Z,IR,Irajá,PI,Regular,69
4246,2015-07-18T18:19:00.000Z,BG,Bangu,PI,Regular,59
4247,2015-07-18T18:19:00.000Z,CG,Campo Grande,PI,Regular,58
4248,2015-07-18T18:19:00.000Z,PG,Pedra de Guaratiba,PI,Regular,59
4249,2015-07-19T15:00:00.000Z,CA,Centro,PI,Boa,50
4250,2015-07-19T15:00:00.000Z,AV,Copacabana,PI,Regular,65
4251,2015-07-19T15:00:00.000Z,SC,São Cristóvão,PI,Regular,59
4252,2015-07-19T15:00:00.000Z,SP,Tijuca,PI,Regular,59
4253,2015-07-19T15:00:00.000Z,IR,Irajá,PI,Regular,60
4254,2015-07-19T15:00:00.000Z,BG,Bangu,O3,Regular,83
4255,2015-07-19T15:00:00.000Z,CG,Campo Grande,PI,Regular,59
4256,2015-07-19T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,61
4257,2015-07-20T15:00:00.000Z,CA,Centro,PI,Boa,36
4258,2015-07-20T15:00:00.000Z,AV,Copacabana,PI,Regular,53
4259,2015-07-20T15:00:00.000Z,SC,São Cristóvão,O3,Boa,36
4260,2015-07-20T15:00:00.000Z,SP,Tijuca,PI,Boa,44
4261,2015-07-20T15:00:00.000Z,IR,Irajá,O3,Regular,51
4262,2015-07-20T15:00:00.000Z,BG,Bangu,O3,Regular,63
4263,2015-07-20T15:00:00.000Z,CG,Campo Grande,PI,Regular,51
4264,2015-07-20T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,70
4265,2015-07-21T16:58:00.000Z,CA,Centro,PI,Regular,51
4266,2015-07-21T16:58:00.000Z,AV,Copacabana,PI,Regular,57
4267,2015-07-21T16:58:00.000Z,SC,São Cristóvão,PI,Regular,55
4268,2015-07-21T16:58:00.000Z,SP,Tijuca,PI,Boa,44
4269,2015-07-21T16:58:00.000Z,IR,Irajá,PI,Regular,59
4270,2015-07-21T16:58:00.000Z,BG,Bangu,PI,Regular,56
4271,2015-07-21T16:58:00.000Z,CG,Campo Grande,PI,Regular,55
4272,2015-07-21T16:58:00.000Z,PG,Pedra de Guaratiba,PI,Regular,70
4273,2015-07-22T15:00:00.000Z,CA,Centro,O3,Boa,25
4274,2015-07-22T15:00:00.000Z,AV,Copacabana,PI,Boa,48
4275,2015-07-22T15:00:00.000Z,SC,São Cristóvão,O3,Boa,25
4276,2015-07-22T15:00:00.000Z,SP,Tijuca,O3,Boa,30
4277,2015-07-22T15:00:00.000Z,IR,Irajá,O3,Boa,32
4278,2015-07-22T15:00:00.000Z,BG,Bangu,O3,Boa,35
4279,2015-07-22T15:00:00.000Z,CG,Campo Grande,NO2,Boa,18
4280,2015-07-22T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,21
4281,2015-07-23T15:00:00.000Z,CA,Centro,PI,Boa,29
4282,2015-07-23T15:00:00.000Z,AV,Copacabana,PI,Regular,54
4283,2015-07-23T15:00:00.000Z,SC,São Cristóvão,PI,Boa,28
4284,2015-07-23T15:00:00.000Z,SP,Tijuca,PI,Boa,33
4285,2015-07-23T15:00:00.000Z,IR,Irajá,PI,Boa,36
4286,2015-07-23T15:00:00.000Z,BG,Bangu,PI,Boa,33
4287,2015-07-23T15:00:00.000Z,CG,Campo Grande,PI,Boa,31
4288,2015-07-23T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,27
4289,2015-07-24T15:00:00.000Z,CA,Centro,PI,Boa,29
4290,2015-07-24T15:00:00.000Z,AV,Copacabana,PI,Regular,51
4291,2015-07-24T15:00:00.000Z,SC,São Cristóvão,PI,Boa,28
4292,2015-07-24T15:00:00.000Z,SP,Tijuca,PI,Boa,32
4293,2015-07-24T15:00:00.000Z,IR,Irajá,PI,Boa,37
4294,2015-07-24T15:00:00.000Z,BG,Bangu,PI,Boa,34
4295,2015-07-24T15:00:00.000Z,CG,Campo Grande,PI,Boa,31
4296,2015-07-24T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,34
4297,2015-07-25T15:00:00.000Z,CA,Centro,PI,Boa,35
4298,2015-07-25T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4299,2015-07-25T15:00:00.000Z,SC,São Cristóvão,PI,Boa,30
4300,2015-07-25T15:00:00.000Z,SP,Tijuca,PI,Boa,33
4301,2015-07-25T15:00:00.000Z,IR,Irajá,PI,Boa,36
4302,2015-07-25T15:00:00.000Z,BG,Bangu,PI,Boa,34
4303,2015-07-25T15:00:00.000Z,CG,Campo Grande,NO2,Boa,43
4304,2015-07-25T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,36
4305,2015-07-26T15:00:00.000Z,CA,Centro,PI,Boa,24
4306,2015-07-26T15:00:00.000Z,AV,Copacabana,PI,Boa,43
4307,2015-07-26T15:00:00.000Z,SC,São Cristóvão,PI,Boa,20
4308,2015-07-26T15:00:00.000Z,SP,Tijuca,NO2,Boa,24
4309,2015-07-26T15:00:00.000Z,IR,Irajá,NO2,Boa,28
4310,2015-07-26T15:00:00.000Z,BG,Bangu,NO2,Boa,21
4311,2015-07-26T15:00:00.000Z,CG,Campo Grande,NO2,Boa,23
4312,2015-07-26T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,33
4313,2015-07-27T15:00:00.000Z,CA,Centro,PI,Boa,31
4314,2015-07-27T15:00:00.000Z,AV,Copacabana,PI,Boa,48
4315,2015-07-27T15:00:00.000Z,SC,São Cristóvão,PI,Boa,32
4316,2015-07-27T15:00:00.000Z,SP,Tijuca,PI,Boa,31
4317,2015-07-27T15:00:00.000Z,IR,Irajá,PI,Boa,45
4318,2015-07-27T15:00:00.000Z,BG,Bangu,PI,Boa,38
4319,2015-07-27T15:00:00.000Z,CG,Campo Grande,PI,Boa,30
4320,2015-07-27T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,44
4321,2015-07-28T15:00:00.000Z,CA,Centro,PI,Boa,27
4322,2015-07-28T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4323,2015-07-28T15:00:00.000Z,SC,São Cristóvão,PI,Boa,21
4324,2015-07-28T15:00:00.000Z,SP,Tijuca,NO2,Boa,27
4325,2015-07-28T15:00:00.000Z,IR,Irajá,O3,Boa,36
4326,2015-07-28T15:00:00.000Z,BG,Bangu,PI,Boa,39
4327,2015-07-28T15:00:00.000Z,CG,Campo Grande,PI,Boa,31
4328,2015-07-28T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,37
4329,2015-07-29T15:00:00.000Z,CA,Centro,PI,Boa,35
4330,2015-07-29T15:00:00.000Z,AV,Copacabana,PI,Regular,56
4331,2015-07-29T15:00:00.000Z,SC,São Cristóvão,PI,Boa,29
4332,2015-07-29T15:00:00.000Z,SP,Tijuca,PI,Boa,32
4333,2015-07-29T15:00:00.000Z,IR,Irajá,PI,Boa,42
4334,2015-07-29T15:00:00.000Z,BG,Bangu,PI,Boa,37
4335,2015-07-29T15:00:00.000Z,CG,Campo Grande,PI,Boa,33
4336,2015-07-29T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,37
4337,2015-07-30T15:00:00.000Z,CA,Centro,PI,Boa,24
4338,2015-07-30T15:00:00.000Z,AV,Copacabana,PI,Boa,45
4339,2015-07-30T15:00:00.000Z,SC,São Cristóvão,NO2,Boa,27
4340,2015-07-30T15:00:00.000Z,SP,Tijuca,NO2,Boa,27
4341,2015-07-30T15:00:00.000Z,IR,Irajá,O3,Regular,53
4342,2015-07-30T15:00:00.000Z,BG,Bangu,PI,Boa,44
4343,2015-07-30T15:00:00.000Z,CG,Campo Grande,PI,Boa,37
4344,2015-07-30T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,43
4345,2015-07-31T15:00:00.000Z,CA,Centro,PI,Boa,50
4346,2015-07-31T15:00:00.000Z,AV,Copacabana,PI,Regular,60
4347,2015-07-31T15:00:00.000Z,SC,São Cristóvão,PI,Boa,49
4348,2015-07-31T15:00:00.000Z,SP,Tijuca,PI,Regular,51
4349,2015-07-31T15:00:00.000Z,IR,Irajá,O3,Regular,82
4350,2015-07-31T15:00:00.000Z,BG,Bangu,PI,Regular,57
4351,2015-07-31T15:00:00.000Z,CG,Campo Grande,PI,Boa,45
4352,2015-07-31T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,63
4353,2015-08-01T15:00:00.000Z,CA,Centro,PI,Regular,64
4354,2015-08-01T15:00:00.000Z,AV,Copacabana,PI,Regular,72
4355,2015-08-01T15:00:00.000Z,SC,São Cristóvão,PI,Regular,68
4356,2015-08-01T15:00:00.000Z,SP,Tijuca,PI,Regular,56
4357,2015-08-01T15:00:00.000Z,IR,Irajá,PI,Regular,66
4358,2015-08-01T15:00:00.000Z,BG,Bangu,PI,Regular,65
4359,2015-08-01T15:00:00.000Z,CG,Campo Grande,PI,Regular,58
4360,2015-08-01T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,76
4361,2015-08-02T15:00:00.000Z,CA,Centro,PI,Boa,41
4362,2015-08-02T15:00:00.000Z,AV,Copacabana,PI,Regular,53
4363,2015-08-02T15:00:00.000Z,SC,São Cristóvão,PI,Boa,45
4364,2015-08-02T15:00:00.000Z,SP,Tijuca,O3,Boa,39
4365,2015-08-02T15:00:00.000Z,IR,Irajá,PI,Regular,64
4366,2015-08-02T15:00:00.000Z,BG,Bangu,PI,Regular,69
4367,2015-08-02T15:00:00.000Z,CG,Campo Grande,PI,Regular,62
4368,2015-08-02T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,82
4369,2015-08-03T15:00:00.000Z,CA,Centro,PI,Boa,45
4370,2015-08-03T15:00:00.000Z,AV,Copacabana,PI,Regular,58
4371,2015-08-03T15:00:00.000Z,SC,São Cristóvão,PI,Boa,44
4372,2015-08-03T15:00:00.000Z,SP,Tijuca,O3,Boa,37
4373,2015-08-03T15:00:00.000Z,IR,Irajá,PI,Regular,60
4374,2015-08-03T15:00:00.000Z,BG,Bangu,PI,Boa,49
4375,2015-08-03T15:00:00.000Z,CG,Campo Grande,PI,Boa,47
4376,2015-08-03T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,82
4377,2015-08-04T15:00:00.000Z,CA,Centro,PI,Regular,63
4378,2015-08-04T15:00:00.000Z,AV,Copacabana,PI,Regular,68
4379,2015-08-04T15:00:00.000Z,SC,São Cristóvão,PI,Regular,61
4380,2015-08-04T15:00:00.000Z,SP,Tijuca,NO2,Regular,59
4381,2015-08-04T15:00:00.000Z,IR,Irajá,O3,Regular,86
4382,2015-08-04T15:00:00.000Z,BG,Bangu,PI,Regular,61
4383,2015-08-04T15:00:00.000Z,CG,Campo Grande,PI,Regular,61
4384,2015-08-04T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,74
4385,2015-08-05T15:00:00.000Z,CA,Centro,O3,Boa,45
4386,2015-08-05T15:00:00.000Z,AV,Copacabana,PI,Regular,74
4387,2015-08-05T15:00:00.000Z,SC,São Cristóvão,PI,Regular,65
4388,2015-08-05T15:00:00.000Z,SP,Tijuca,O3,Regular,65
4389,2015-08-05T15:00:00.000Z,IR,Irajá,O3,Regular,88
4390,2015-08-05T15:00:00.000Z,BG,Bangu,PI,Regular,61
4391,2015-08-05T15:00:00.000Z,CG,Campo Grande,PI,Regular,57
4392,2015-08-05T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,82
4393,2015-08-06T15:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
4394,2015-08-06T15:00:00.000Z,AV,Copacabana,PI,Regular,59
4395,2015-08-06T15:00:00.000Z,SC,São Cristóvão,O3,Regular,79
4396,2015-08-06T15:00:00.000Z,SP,Tijuca,O3,Regular,75
4397,2015-08-06T15:00:00.000Z,IR,Irajá,O3,Regular,88
4398,2015-08-06T15:00:00.000Z,BG,Bangu,PI,Regular,69
4399,2015-08-06T15:00:00.000Z,CG,Campo Grande,PI,Regular,60
4400,2015-08-06T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,81
4401,2015-08-07T15:00:00.000Z,CA,Centro,Indisponivel,Indisponivel,
4402,2015-08-07T15:00:00.000Z,AV,Copacabana,PI,Regular,56
4403,2015-08-07T15:00:00.000Z,SC,São Cristóvão,PI,Boa,44
4404,2015-08-07T15:00:00.000Z,SP,Tijuca,PI,Boa,41
4405,2015-08-07T15:00:00.000Z,IR,Irajá,O3,Regular,72
4406,2015-08-07T15:00:00.000Z,BG,Bangu,PI,Regular,59
4407,2015-08-07T15:00:00.000Z,CG,Campo Grande,PI,Regular,58
4408,2015-08-07T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,66
4409,2015-08-08T15:00:00.000Z,CA,Centro,PI,Boa,35
4410,2015-08-08T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4411,2015-08-08T15:00:00.000Z,SC,São Cristóvão,O3,Boa,43
4412,2015-08-08T15:00:00.000Z,SP,Tijuca,PI,Boa,44
4413,2015-08-08T15:00:00.000Z,IR,Irajá,O3,Regular,80
4414,2015-08-08T15:00:00.000Z,BG,Bangu,PI,Regular,55
4415,2015-08-08T15:00:00.000Z,CG,Campo Grande,PI,Regular,52
4416,2015-08-08T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,60
4417,2015-08-09T15:00:00.000Z,CA,Centro,O3,Boa,30
4418,2015-08-09T15:00:00.000Z,AV,Copacabana,PI,Boa,43
4419,2015-08-09T15:00:00.000Z,SC,São Cristóvão,O3,Boa,36
4420,2015-08-09T15:00:00.000Z,SP,Tijuca,PI,Boa,40
4421,2015-08-09T15:00:00.000Z,IR,Irajá,O3,Regular,69
4422,2015-08-09T15:00:00.000Z,BG,Bangu,PI,Boa,42
4423,2015-08-09T15:00:00.000Z,CG,Campo Grande,PI,Boa,37
4424,2015-08-09T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,48
4425,2015-08-10T15:00:00.000Z,CA,Centro,O3,Boa,31
4426,2015-08-10T15:00:00.000Z,AV,Copacabana,O3,Regular,51
4427,2015-08-10T15:00:00.000Z,SC,São Cristóvão,O3,Boa,40
4428,2015-08-10T15:00:00.000Z,SP,Tijuca,PI,Boa,39
4429,2015-08-10T15:00:00.000Z,IR,Irajá,O3,Regular,51
4430,2015-08-10T15:00:00.000Z,BG,Bangu,PI,Boa,28
4431,2015-08-10T15:00:00.000Z,CG,Campo Grande,PI,Boa,33
4432,2015-08-10T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,46
4433,2015-08-11T15:00:00.000Z,CA,Centro,PI,Boa,29
4434,2015-08-11T15:00:00.000Z,AV,Copacabana,PI,Boa,49
4435,2015-08-11T15:00:00.000Z,SC,São Cristóvão,O3,Boa,33
4436,2015-08-11T15:00:00.000Z,SP,Tijuca,PI,Boa,38
4437,2015-08-11T15:00:00.000Z,IR,Irajá,O3,Regular,61
4438,2015-08-11T15:00:00.000Z,BG,Bangu,PI,Boa,36
4439,2015-08-11T15:00:00.000Z,CG,Campo Grande,PI,Boa,39
4440,2015-08-11T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,50
4441,2015-08-12T15:00:00.000Z,CA,Centro,PI,Boa,33
4442,2015-08-12T15:00:00.000Z,AV,Copacabana,PI,Regular,51
4443,2015-08-12T15:00:00.000Z,SC,São Cristóvão,O3,Boa,42
4444,2015-08-12T15:00:00.000Z,SP,Tijuca,PI,Boa,40
4445,2015-08-12T15:00:00.000Z,IR,Irajá,O3,Regular,52
4446,2015-08-12T15:00:00.000Z,BG,Bangu,O3,Regular,74
4447,2015-08-12T15:00:00.000Z,CG,Campo Grande,NO2,Boa,46
4448,2015-08-12T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,52
4449,2015-08-13T15:00:00.000Z,CA,Centro,PI,Boa,32
4450,2015-08-13T15:00:00.000Z,AV,Copacabana,PI,Regular,52
4451,2015-08-13T15:00:00.000Z,SC,São Cristóvão,O3,Boa,35
4452,2015-08-13T15:00:00.000Z,SP,Tijuca,O3,Boa,39
4453,2015-08-13T15:00:00.000Z,IR,Irajá,O3,Regular,66
4454,2015-08-13T15:00:00.000Z,BG,Bangu,O3,Regular,69
4455,2015-08-13T15:00:00.000Z,CG,Campo Grande,PI,Boa,46
4456,2015-08-13T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,55
4457,2015-08-14T15:00:00.000Z,CA,Centro,PI,Boa,38
4458,2015-08-14T15:00:00.000Z,AV,Copacabana,PI,Regular,57
4459,2015-08-14T15:00:00.000Z,SC,São Cristóvão,O3,Boa,34
4460,2015-08-14T15:00:00.000Z,SP,Tijuca,PI,Boa,38
4461,2015-08-14T15:00:00.000Z,IR,Irajá,O3,Regular,56
4462,2015-08-14T15:00:00.000Z,BG,Bangu,O3,Regular,68
4463,2015-08-14T15:00:00.000Z,CG,Campo Grande,PI,Regular,51
4464,2015-08-14T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,59
4465,2015-08-15T15:00:00.000Z,CA,Centro,O3,Boa,35
4466,2015-08-15T15:00:00.000Z,AV,Copacabana,PI,Regular,54
4467,2015-08-15T15:00:00.000Z,SC,São Cristóvão,O3,Boa,43
4468,2015-08-15T15:00:00.000Z,SP,Tijuca,O3,Boa,42
4469,2015-08-15T15:00:00.000Z,IR,Irajá,O3,Regular,69
4470,2015-08-15T15:00:00.000Z,BG,Bangu,O3,Regular,66
4471,2015-08-15T15:00:00.000Z,CG,Campo Grande,PI,Boa,38
4472,2015-08-15T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,49
4473,2015-08-16T15:00:00.000Z,CA,Centro,O3,Boa,31
4474,2015-08-16T15:00:00.000Z,AV,Copacabana,PI,Regular,54
4475,2015-08-16T15:00:00.000Z,SC,São Cristóvão,O3,Boa,41
4476,2015-08-16T15:00:00.000Z,SP,Tijuca,O3,Regular,69
4477,2015-08-16T15:00:00.000Z,IR,Irajá,O3,Regular,69
4478,2015-08-16T15:00:00.000Z,BG,Bangu,O3,Regular,82
4479,2015-08-16T15:00:00.000Z,CG,Campo Grande,PI,Regular,54
4480,2015-08-16T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,68
4481,2015-08-17T15:00:00.000Z,CA,Centro,PI,Boa,36
4482,2015-08-17T15:00:00.000Z,AV,Copacabana,PI,Regular,63
4483,2015-08-17T15:00:00.000Z,SC,São Cristóvão,O3,Regular,55
4484,2015-08-17T15:00:00.000Z,SP,Tijuca,O3,Boa,48
4485,2015-08-17T15:00:00.000Z,IR,Irajá,O3,Regular,89
4486,2015-08-17T15:00:00.000Z,BG,Bangu,O3,Regular,94
4487,2015-08-17T15:00:00.000Z,CG,Campo Grande,PI,Boa,48
4488,2015-08-17T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,60
4489,2015-08-18T15:00:00.000Z,CA,Centro,PI,Boa,35
4490,2015-08-18T15:00:00.000Z,AV,Copacabana,PI,Regular,55
4491,2015-08-18T15:00:00.000Z,SC,São Cristóvão,O3,Boa,44
4492,2015-08-18T15:00:00.000Z,SP,Tijuca,PI,Boa,41
4493,2015-08-18T15:00:00.000Z,IR,Irajá,O3,Regular,79
4494,2015-08-18T15:00:00.000Z,BG,Bangu,O3,Regular,92
4495,2015-08-18T15:00:00.000Z,CG,Campo Grande,NO2,Boa,44
4496,2015-08-18T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,56
4497,2015-08-19T15:00:00.000Z,CA,Centro,PI,Boa,44
4498,2015-08-19T15:00:00.000Z,AV,Copacabana,PI,Regular,59
4499,2015-08-19T15:00:00.000Z,SC,São Cristóvão,PI,Boa,45
4500,2015-08-19T15:00:00.000Z,SP,Tijuca,PI,Regular,52
4501,2015-08-19T15:00:00.000Z,IR,Irajá,O3,Boa,47
4502,2015-08-19T15:00:00.000Z,BG,Bangu,O3,Regular,79
4503,2015-08-19T15:00:00.000Z,CG,Campo Grande,PI,Regular,52
4504,2015-08-19T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Regular,66
4505,2015-08-20T15:00:00.000Z,CA,Centro,PI,Boa,43
4506,2015-08-20T15:00:00.000Z,AV,Copacabana,PI,Regular,58
4507,2015-08-20T15:00:00.000Z,SC,São Cristóvão,O3,Boa,39
4508,2015-08-20T15:00:00.000Z,SP,Tijuca,NO2,Boa,46
4509,2015-08-20T15:00:00.000Z,IR,Irajá,PI,Boa,50
4510,2015-08-20T15:00:00.000Z,BG,Bangu,O3,Regular,51
4511,2015-08-20T15:00:00.000Z,CG,Campo Grande,PI,Boa,40
4512,2015-08-20T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,53
4513,2015-08-21T15:00:00.000Z,CA,Centro,PI,Boa,22
4514,2015-08-21T15:00:00.000Z,AV,Copacabana,PI,Regular,51
4515,2015-08-21T15:00:00.000Z,SC,São Cristóvão,Indisponivel,Indisponivel,
